ИНН,Короткое название,Статус,Система налогообложения,Дата последней отчетности
2320143178,"ООО ""РЕДТАКСИ СОЧИ""","Юридическое лицо ликвидировано 23 июля 2021 года
Ликвидация юридического лица",,2021.0
6619012933,"ООО ""РЕГИОН""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
3525353178,"ООО ""ПНГК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
7536165991,"ООО ""СТОИК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
3254000627,"ООО ""СТРОЙИНСЕРВИС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
323403215975,,,,
554000887875,,,,
7000005428,"ООО ""ИЦ ДС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
7000009768,"ООО ""ТМСИСТЕМА-СХ",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1005010205,"ООО ""ПИТКЯРАНТСКИЙ ГРАНИТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1015007829,"ООО ""СИА-КОНСАЛТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1004016860,"ООО ""РАМАВТО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
1004004449,"ООО ""ЛЕССЕРВИС КОВАЛАЙНЕН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1007023810,"ООО ""КАРЛИС-ВЯРТСИЛЯ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
1001308424,"ООО ""ВЕЛЕС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
1001349357,"ООО ""БИОРЕСУРС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1001215265,"ООО СК ""ИМПУЛЬС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1001180968,"ООО ""АИСТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2020.0
1001311868,"ООО ""ДОРЛЕС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
6670437326,"ООО УК ""ЭКСПЕРТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1001310705,"ООО ""ИНТЕРЛАЙН""","Юридическое лицо ликвидировано 3 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2020.0
1001194449,"ООО ""ПЕЛТО""","Юридическое лицо ликвидировано 6 декабря 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1001334262,"ООО ""МЕГАЛИФТ""",,,
1001267030,"ООО ""ШЕФ-МОНТАЖ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2021.0
1103013074,"ООО ""ДАН""",Компания включена в реестр недобросовестных поставщиков,УСН Согласно данным ФНС за 2025 год,2023.0
1103044900,"ООО ""РПС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1108023541,"ООО ""НГРЭ №9""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1102079837,"ООО ""УК ""ИДЕАЛ""",Юридическое лицо находится в процессе реорганизации в форме присоединения к другому юридическому лицу,УСН Согласно данным ФНС за 2025 год,2024.0
1109014532,"ООО ""ПРИЛУЗЛЕСИНВЕСТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1101099076,"ООО ""АВТОТЕМА 11""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1101154961,"ООО ""ВСК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1101173731,"ООО ""ЛСМ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1101175288,"ООО ""ТК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
1101136659,"ООО ""КОМИ ПОЛИМЕР ПЛЮС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2015.0
1101051564,"ООО ""ГЛАВ-ПИВО""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1121021399,"ООО ""СЕВЕРКА""","Юридическое лицо ликвидировано 23 октября 2023 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2019.0
1101165603,"ООО ""РЕАЛИНВЕСТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1106032854,"ООО ""ТК ""АРРИВА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
7717736855,"ООО ""ЕЭК""",,,
1224003514,"ООО ГК ""МФ ""МАРИБЕЛЬ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1203009586,"ООО ""АГРОПРОМ""","Юридическое лицо ликвидировано 8 мая 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2019.0
1200000899,"ООО ""МАСТЕР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1215084595,"ООО ""СТАЛЬСТРОЙСЕРВИС""","Юридическое лицо ликвидировано 28 мая 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2015.0
1215189044,"ООО ""ТК ""РУСЬ""","Юридическое лицо ликвидировано 2 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1650211547,"ООО ""ЭЛЕКТРОЯР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1215164674,"ООО ""СТОЛИЦА-СТРОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1215187897,"ООО ""ВЫСОТА""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2022.0
1215182666,"ООО ""МАГИСТР СТРОЙ""",,,
1215118678,"ООО ""МТК""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2016.0
1215131654,"ООО ""СЕВЕРО-ЗАПАДНАЯ УК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1215220449,"ООО ""АВТОВОКЗАЛЫ МАРИЙ ЭЛ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1215225623,"ООО ""МАРЛИФТСЕРВИС""","Юридическое лицо ликвидировано 30 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
121513990343,,,,
1215114105,"ООО ""ЭНЕРГОСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1207009065,"ООО МУК ""ЭКСЖИЛФОНД""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1215129574,"ООО ""ДВА СЕРДЦА""","Юридическое лицо ликвидировано 3 июля 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2019.0
1218000716,"ООО ""ДСПМК-1""","Юридическое лицо ликвидировано 23 августа 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
1323126362,"ООО ""РОСТАГРО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
1327007912,"ООО ""ЮВЕНТА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1326253658,"ООО ТД ""ТРЕЙДЕР""","Юридическое лицо ликвидировано 11 июня 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
1326248369,"ООО ""ДОМ-УПРАВЛЕНИЯ  №23""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1326207267,"ООО ""МД""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
1327025502,"ООО "" ТЕХСЕРВИС М""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1408004081,"ООО ""КАРАДАГ""","Юридическое лицо ликвидировано 15 января 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2018.0
1402017430,"ООО ""АРСК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1402019204,"ООО ""ССИ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2020.0
1434035424,"ООО ""ТС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2022.0
1434022760,"ООО ""КАРЕЛИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
1434053247,"ООО ""ЗОЛОТИНКА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1434049272,"ООО ""СТРОЙ ПРОЕКТ 14""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,2023.0
1435134114,"ООО ""СИГНУМ""","Юридическое лицо ликвидировано 3 июля 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1435306211,"СОПК ""ЗОЛОТИНКА""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1435097568,РОО ФЕДЕРАЦИЯ СПОРТИВНОЙ БОРЬБЫ РС (Я),Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1435295792,"ООО УК ""ЭРКЭЭНИ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1435065894,"ООО ""ТОВАРЫ САХА ЯКУТМЕСТПРОМА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1435319958,"ООО ""ПТЦ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
