number,summa,creditor_inn,debtor_inn,group_summa
73596/24/01012-ИП,6329647.34,2308119595,105070206,
133593/24/01012-ИП,6329917.34,2308119595,105070206,
35352/24/01012-ИП,5053276.15,2308119595,105029141,
121345/23/01012-ИП,9795120.88,2308119595,105029141,
152637/23/01012-ИП,11343291.76,2308119595,105029141,
129027/23/01012-ИП,14583390.08,2308119595,105020981,
20776/24/02031-ИП,3457243.2,274132270,204995481,
22551/23/02031-ИП,5573079.41,274132270,204995481,
16601/23/02031-ИП,3103200.52,274132270,204995481,
90594/23/02052-ИП,7045079.0,232006517,232014317,
60569/24/02062-ИП,18780000.0,7716607705,277124581,
60570/24/02062-ИП,18780000.0,7716607705,277124581,
65691/24/02062-ИП,5479907.78,277072661,245953900,
86906/24/02062-ИП,3731448.42,277011588,276910261,
18900/21/02062-ИП,2512187.48,278030985,272020814,
171504/23/02062-ИП,5328503.41,276981449,245956298,
67985/22/02062-ИП,3557822.62,274188964,245951726,
236276/23/02046-ИП,2776991.0,278209855,224956642,
15991/23/02037-ИП,2683805.07,5260900725,272021864,
14455/23/02037-ИП,2982599.92,7744000912,272021864,
27837/24/02028-ИП,17614687.52,274163127,273094336,
120653/20/02011-ИП,13466751.68,265044973,265037736,
171718/23/02011-ИП,2965382.82,7802606871,265048400,
143030/23/02003-ИП,2683483.46,277003820,274935609,
297905/23/02003-ИП,9437623.67,276904356,242011594,
250562/24/02003-ИП,3065302.92,6316103050,274949383,
36888/23/02003-ИП,13808521.5,7810384750,278134624,
331179/22/02003-ИП,2912788.13,6454085567,274121536,
129528/23/02003-ИП,5473758.17,275038496,274135465,
130547/23/02003-ИП,13385842.21,275072521,242011594,
49048/24/02003-ИП,3093930.74,270021932,274193308,
80337/24/02003-ИП,2794006.77,275038496,274135465,
378375/23/02003-ИП,3193207.25,275038496,274135465,
381666/23/02003-ИП,56947173.35,7801300320,272907275,
55573/24/02003-ИП,8333139.14,274144861,278077670,
156492/24/02003-ИП,3642179.27,274108180,245025034,
198575/24/02003-ИП,10799473.41,277121421,274912200,
174485/24/02003-ИП,20000000.0,7736004350,274119745,
