ИНН,Короткое название,Статус,Система налогообложения,Дата последней отчетности
105070206,"СНТ ""НОВАЯ ВЕСНА""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
105029141,"СНТ ""ДРУЖБА""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
105020981,"ДНТ ""ВЕСНА""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
277124581,"ООО ""ПОМОЩЬ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
274949383,"ООО ""АГ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
278134624,"ООО ""МИЛКА""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
274121536,"ООО ""ПРИВОЛЖЭНЕРГО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2019.0
272907275,"ООО ""СИТИВЕНТ""","Юридическое лицо ликвидировано 24 декабря 2024 года
Исключение из ЕГРЮЛ недействующего юридического лица",,2022.0
253017439,"ООО ""ЭНЕРГОКОТЛООЧИСТКА+""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
264074157,"ООО ""СПЕЦСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
268091770,"ООО ""БАШСЕРА""","Юридическое лицо ликвидировано 2 ноября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
276918158,"ООО ""АРС-ГРУПП ИНВЕСТМЕНТС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
276958337,"ООО ""БЕЛДОРСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
274916564,"ООО ""СТРОЙСТАНДАРТ""","Юридическое лицо ликвидировано 24 марта 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2023.0
245025130,"ООО ""ГК ЛИДЕРГРУПП""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
220025547,"ООО ""РИМФАСТ ЛОГИСТИК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
276092048,"ООО ""ГАЗЭНЕРГОСЕРВИС""",,,
259013007,"ООО ""ДМК-РИТЭЙЛ""",,,
259013014,"ООО ""ДМК-ОПТТРЕЙД""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
267024612,"ООО ""ТРАНСПРО""",,,
277946944,"ООО ""БЕТОН-ПРОФИ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
276935210,"ООО ""ТАМЕРЛАН""","Юридическое лицо ликвидировано 31 января 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2022.0
277943220,"ООО ""ВЕРТИКАЛЬ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
273904125,"ООО ""ЛКМ РЕСУРС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
273901822,"ООО ""ТИС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
6619012933,"ООО ""РЕГИОН""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
277943943,"ООО ""ПИЛИГРИМ""",,,
278048157,"ООО ""ЦЕНТР-КОМПЛЕКТ""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
274159032,"ООО ""РЕСУРС +""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
274181221,"ООО ""ЭНЕРГОАЛЬЯНС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2021.0
274114137,"ООО ""УРАЛНЕФТЬ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
275906015,"ООО ""БАШЭНЕРГОПРОМ""",,,
7536165991,"ООО ""СТОИК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
323360628,"ООО ""ПРОФМАСТЕР-ПЛЮС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2022.0
301200765,"ООО ""СИБИРСКИЕ РЕСУРСЫ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
313316806,"ООО ""ИКИБЗЯК""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
317317656,"ООО ""РЕГИСТР. УОЯН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
317318226,"МП ""БАЙКАЛВОДОКАНАЛ""",,,
326490600,"ООО ""БИЗНЕС-ИНВЕСТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2021.0
533011831,"ООО ""ЗЕМЛЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
508011965,"ООО ""ГРАНД""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
541029409,"ООО ""КАВКАЗСТРОЙ-С""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
608038720,"ООО ""ЭЛЕОС""",,,
607002577,"ООО НПО ""СИСТЕМЫ БЕЗОПАСНОСТИ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
608061889,"ООО ""ГНХ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
608022632,"ООО ""ЮСУФ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
708016784,"ООО ""ЧЕГЕМ-1""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
700003864,"ООО ""ХИМТОРГ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
722004597,"ООО ""СТРОЙСЕРВИС""",,,
711008455,"АО ""КАББАЛКЭНЕРГО""",,,
700000976,"ООО ""КБР АГРО ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
725003383,"ООО ""ИНТЕР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2023.0
711007652,"ФИРМА ООО ""КАБАРДА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
816000333,"ООО ""АЛТЭН""","Юридическое лицо ликвидировано 9 августа 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2016.0
901047734,"ООО ""ЮГ-РЕСУРС""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1005010205,"ООО ""ПИТКЯРАНТСКИЙ ГРАНИТ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1015007829,"ООО ""СИА-КОНСАЛТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1004016860,"ООО ""РАМАВТО""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
1004004449,"ООО ""ЛЕССЕРВИС КОВАЛАЙНЕН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2020.0
1001349357,"ООО ""БИОРЕСУРС""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1108023541,"ООО ""НГРЭ №9""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1109014532,"ООО ""ПРИЛУЗЛЕСИНВЕСТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1101099076,"ООО ""АВТОТЕМА 11""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1101173731,"ООО ""ЛСМ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1101175288,"ООО ""ТК""",,,
1101136659,"ООО ""КОМИ ПОЛИМЕР ПЛЮС""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),Общая (ОСНО) Согласно данным ФНС за 2023 год,2015.0
1101165603,"ООО ""РЕАЛИНВЕСТ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1106032854,"ООО ""ТК ""АРРИВА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1203009586,"ООО ""АГРОПРОМ""","Юридическое лицо ликвидировано 8 мая 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2019.0
1200000899,"ООО ""МАСТЕР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
1215189044,"ООО ""ТК ""РУСЬ""","Юридическое лицо ликвидировано 2 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1650211547,"ООО ""ЭЛЕКТРОЯР""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2024.0
1215187897,"ООО ""ВЫСОТА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2022.0
1215182666,"ООО ""МАГИСТР СТРОЙ""",,,
1215131654,"ООО ""СЕВЕРО-ЗАПАДНАЯ УК""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1215220449,"ООО ""АВТОВОКЗАЛЫ МАРИЙ ЭЛ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2023.0
1215225623,"ООО ""МАРЛИФТСЕРВИС""","Юридическое лицо ликвидировано 30 апреля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,2021.0
1215114105,"ООО ""ЭНЕРГОСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,2018.0
1207009065,"ООО МУК ""ЭКСЖИЛФОНД""",Действующая компания,УСН Согласно данным ФНС за 2025 год,2024.0
