ИНН,Короткое название,Статус,Система налогообложения,Дата последней отчетности
276092048,"ООО ""ГАЗЭНЕРГОСЕРВИС""",,,
259013007,"ООО ""ДМК-РИТЭЙЛ""",,,
267024612,"ООО ""ТРАНСПРО""",,,
6619012933,"ООО ""РЕГИОН""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
277943943,"ООО ""ПИЛИГРИМ""",,,
275906015,"ООО ""БАШЭНЕРГОПРОМ""",,,
317318226,"МП ""БАЙКАЛВОДОКАНАЛ""",,,
608038720,"ООО ""ЭЛЕОС""",,,
608061889,"ООО ""ГНХ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
700003864,"ООО ""ХИМТОРГ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
722004597,"ООО ""СТРОЙСЕРВИС""",,,
711008455,"АО ""КАББАЛКЭНЕРГО""",,,
1101173731,"ООО ""ЛСМ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1101175288,"ООО ""ТК""",,,
1215182666,"ООО ""МАГИСТР СТРОЙ""",,,
1326253658,"ООО ТД ""ТРЕЙДЕР""","Юридическое лицо ликвидировано 11 июня 2025 года
Исключение из ЕГРЮЛ недействующего юридического лица",,
1407008541,"ООО ""ИНФИНИТИ ГРУПП""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
150301687367,,,,
1225001260,"МЕСТНАЯ МУСУЛЬМАНСКАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""МАХАЛЛЯ №2736"" П. КРАСНЫЙ СТЕКЛОВАР МОРКИНСКОГО РАЙОНА РЕСПУБЛИКИ МАРИЙ ЭЛ",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1651091000,"ООО ""ГРИН ТЕРРА НК""",Сведения недостоверны (результаты проверки достоверности содержащихся в ЕГРЮЛ сведений о юридическом лице),УСН Согласно данным ФНС за 2025 год,
1619006747,"ООО ""ТАН""",,,
1657254927,"ООО ""СТРОЙ К""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1657133834,"ООО ""ПКФ СТРОЙГРАД""",,,
164403795703,,,,
1841092192,"ООО ГК ""ЭТАЛОН""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
1902028334,"ООО СЗ ""ТАСХЫЛ""",,,
2016006315,"ООО ""ЭЛЬ ФАЛЛАХ ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2124048030,"ООО ""НОВАЯ ЭРА""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2263030425,"ООО МЗ ""ВЕМА-РА""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2222836135,"ООО УЖК ""ЛЕСНОЙ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2204093021,"ООО ""ЗАГОТЗЕРНО ""БИЙСКОЕ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2318042736,"ООО ""УК ДОМ МАСТЕР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
1102073352,"ООО ""СЕВЕРКОМПЛЕКТСЕРВИС""",,,
901041531,"ООО ""ЛИНА""",,,
2312161247,"ТСЖ ""АВИАТОР""",Действующая организация,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2312300613,"ООО ""ЮГ-СТРОЙ""",,,
2311208051,"ООО ""ТЭК""",,,
2311341783,"ООО ""МЕТСНАБСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2311336543,"ООО ""ГАГАРИН КРАСНОДАР""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2311328655,"АО ""ИНТЕГРАЦИЯ""",Действующая компания,УСН Согласно данным ФНС за 2025 год,
2367014227,"ООО ""СПОРТСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2367012100,"ООО ""ПРОФИЮГСТРОЙ""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
2320228368,"ООО ""УК ЖИЛОЙ КВАРТАЛ""","Юридическое лицо ликвидировано 6 сентября 2024 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
2367013248,"ООО ""ПРОГРЕСС""","Юридическое лицо ликвидировано 28 февраля 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",,
2309177818,"ООО ""РОУД ГРУПП""",Действующая компания,Общая (ОСНО) Согласно данным ФНС за 2023 год,
