number,summa,creditor_inn,debtor_inn,group_summa,Полное название,Вероятность стоп-листа,Объяснение ИИ,Телефоны,Электронные почты,Веб сайты,Название должника,Статус должника,Дата отчетности должника
309322/24/82005-ИП,945587.74,9102070194,9109007480,4179372.6,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ""",25,"Санкции +10%, энергетика +10%, выручка <45 млрд, частная собственность, нет госзакупок, директор не иностранец.","['+7 365 255-34-79', '+7 365 255-34-59', '+7 978 838-35-92']","['office@krimtec.ru', 'abonsl@krimtec.ru', 'teplo_snabj_saki@mail.ru']","[{'name': 'krimtec.ru', 'url': 'http://krimtec.ru'}]","ООО ""КТЭМ 2004""",Действующая компания,2021.0
223993/22/86009-ИП,1188222.79,8604035473,8604028613,2571991.44,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ЮГАНСКНЕФТЕГАЗ""",15,"Выручка 324,2 млрд руб. +15%","['+7 346 333-22-00', '+7 346 331-52-22', '+7 346 333-65-64']","['ooorn-ung@ung.rosneft.ru', 'ilyasovali@ung.rosneft.ru', 'rn-yng@yungjsc.com']",[],"ООО ""МСХ""",Действующая компания,2024.0
97389/21/86009-ИП,1383768.65,8604035473,8604028613,2571991.44,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ЮГАНСКНЕФТЕГАЗ""",15,"Выручка 324,2 млрд руб. +15%","['+7 346 333-22-00', '+7 346 331-52-22', '+7 346 333-65-64']","['ooorn-ung@ung.rosneft.ru', 'ilyasovali@ung.rosneft.ru', 'rn-yng@yungjsc.com']",[],"ООО ""МСХ""",Действующая компания,2024.0
140589/24/67039-ИП,1714406.0,8603089934,7718724605,3428812.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""",50,"Выручка > 45 млрд (15%), объем контрактов > 30 млрд (20%), деятельность в энергетике (15%).","['+7 346 662-11-34', '+7 346 662-10-65', '+7 919 530-24-60']","['nvsnginfo@rosneft.ru', 'emniftaliev@smn.rosneft.ru', 'office@smn.rosneft.ru']","[{'name': 'samotlor.rosneft.ru', 'url': 'http://samotlor.rosneft.ru'}]","ООО ""КАТЭК-М""",Действующая компания,2021.0
163218/23/67039-ИП,1714406.0,8603089934,7718724605,3428812.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""",50,"Выручка > 45 млрд (15%), объем контрактов > 30 млрд (20%), деятельность в энергетике (15%).","['+7 346 662-11-34', '+7 346 662-10-65', '+7 919 530-24-60']","['nvsnginfo@rosneft.ru', 'emniftaliev@smn.rosneft.ru', 'office@smn.rosneft.ru']","[{'name': 'samotlor.rosneft.ru', 'url': 'http://samotlor.rosneft.ru'}]","ООО ""КАТЭК-М""",Действующая компания,2021.0
126794/23/58051-ИП,81941.4,8603089934,5835102403,3384594.78,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""",50,"Выручка > 45 млрд (15%), объем контрактов > 30 млрд (20%), деятельность в энергетике (15%).","['+7 346 662-11-34', '+7 346 662-10-65', '+7 919 530-24-60']","['nvsnginfo@rosneft.ru', 'emniftaliev@smn.rosneft.ru', 'office@smn.rosneft.ru']","[{'name': 'samotlor.rosneft.ru', 'url': 'http://samotlor.rosneft.ru'}]","ООО ""ПЗЭМ""",Действующая компания,2024.0
126799/23/58051-ИП,1610355.99,8603089934,5835102403,3384594.78,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""",50,"Выручка > 45 млрд (15%), объем контрактов > 30 млрд (20%), деятельность в энергетике (15%).","['+7 346 662-11-34', '+7 346 662-10-65', '+7 919 530-24-60']","['nvsnginfo@rosneft.ru', 'emniftaliev@smn.rosneft.ru', 'office@smn.rosneft.ru']","[{'name': 'samotlor.rosneft.ru', 'url': 'http://samotlor.rosneft.ru'}]","ООО ""ПЗЭМ""",Действующая компания,2024.0
285885/24/58051-ИП,81941.4,8603089934,5835102403,3384594.78,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""",50,"Выручка > 45 млрд (15%), объем контрактов > 30 млрд (20%), деятельность в энергетике (15%).","['+7 346 662-11-34', '+7 346 662-10-65', '+7 919 530-24-60']","['nvsnginfo@rosneft.ru', 'emniftaliev@smn.rosneft.ru', 'office@smn.rosneft.ru']","[{'name': 'samotlor.rosneft.ru', 'url': 'http://samotlor.rosneft.ru'}]","ООО ""ПЗЭМ""",Действующая компания,2024.0
285895/24/58051-ИП,1610355.99,8603089934,5835102403,3384594.78,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""",50,"Выручка > 45 млрд (15%), объем контрактов > 30 млрд (20%), деятельность в энергетике (15%).","['+7 346 662-11-34', '+7 346 662-10-65', '+7 919 530-24-60']","['nvsnginfo@rosneft.ru', 'emniftaliev@smn.rosneft.ru', 'office@smn.rosneft.ru']","[{'name': 'samotlor.rosneft.ru', 'url': 'http://samotlor.rosneft.ru'}]","ООО ""ПЗЭМ""",Действующая компания,2024.0
153843/24/78023-ИП,673446.65,7841322249,7816736750,2961175.76,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ""",35,"Учредитель из стоп-листа (ИНТЕР РАО ЕЭС) +10%, выручка >45 млрд руб. +15%, деятельность в энергетике +10%.","['+7 812 303-69-69', '+7 813 644-99-18', '+7 812 303-97-03']","['a-vsev@pesc.ru', 'a-luvs@pesc.ru', 'office@pesc.ru']","[{'name': 'pesc.ru', 'url': 'http://pesc.ru'}]","АО ""САЛОЛИН""",Действующая компания,2024.0
