ОРГН,ИНН,КПП,ОКПО,Адрес,Короткое название,Полное название,Статус,Организационно-правовая форма,Форма собственности,Система налогообложения,Финансовая отчетность,Управляющая компания,Учредители,Санкционные списки,Телефоны,Электронные почты,Веб сайты,Виды деятельности,Контракты по госзакупкам,Генеральный директор
1051000000050,1001012875,100101001,75732353,"185016, Республика Карелия, г. Петрозаводск, бульвар Интернационалистов (Древлянка р-н), д. 17А","АО ""ТНС ЭНЕРГО КАРЕЛИЯ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО КАРЕЛИЯ""",Действующая компания,Непубличные акционерные общества,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до8,9 млрд руб.+13%', 'change': {'value': '+13%', 'tooltip': '7,9 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до431 млн руб.+2096%', 'change': {'value': '+2096%', 'tooltip': '19,6 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили633,6 млн руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили91 тыс. руб.', 'change': None}]}","{'type': 'Управляющая организация', 'name': 'ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ГРУППА КОМПАНИЙ ""ТНС ЭНЕРГО""', 'link': '/id/1137746456231', 'since': 'с 28 июня 2013 г.'}",{'Информация': 'Нет сведений об учредителях'},Не входит в санкционные списки,"['+7 814 279-25-13', '+7 814 279-27-27', '+7 814 279-26-59']","['kesk@karelia.tns-e.ru', 'czo@karelia.tns-e.ru', 'electra@ek.karelia.ru']","[{'name': 'karelia.tns-e.ru', 'url': 'http://karelia.tns-e.ru'}, {'name': 'karelesk.ru', 'url': 'http://karelesk.ru'}, {'name': 'ruses.ru', 'url': 'http://ruses.ru'}]","[{'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': 'Основной'}, {'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': ''}, {'code': '46.18.99', 'text': 'Деятельность агентов, специализирующихся на оптовой торговле прочими товарами, не включенными в другие группировки', 'href': '/select?code=461899', 'extra_tip': ''}, {'code': '68.20.2', 'text': 'Аренда и управление собственным или арендованным нежилым недвижимым имуществом', 'href': '/select?code=682020', 'extra_tip': ''}, {'code': '73.11', 'text': 'Деятельность рекламных агентств', 'href': '/select?code=731100', 'extra_tip': ''}, {'code': '82.19', 'text': 'Деятельность по фотокопированию и подготовке документов и прочая специализированная вспомогательная деятельность по обеспечению деятельности офиса', 'href': '/select?code=821900', 'extra_tip': ''}, {'code': '82.99', 'text': 'Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки', 'href': '/select?code=829900', 'extra_tip': ''}]","{'Наличие данных': True, 'Контракт': '10027', 'Сумма': '12.3 млрд руб.', 'Заказчик': '1.1 млрд руб.', 'Поставщик': '11.3 млрд руб.'}",
1061101039779,1101301856,110101001,40815611,"167000, Республика Коми, г. Сыктывкар, ул. Первомайская, д. 70","АО ""КОМИ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",Действующая компания,Непубличные акционерные общества,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2023 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до15,3 млрд руб.+9%', 'change': {'value': '+9%', 'tooltip': '14 млрд руб. в 2022 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до592,7 млн руб.+22%', 'change': {'value': '+22%', 'tooltip': '487,2 млн руб. в 2022 году'}}, {'name': 'Основные средства', 'value': '=составили515,4 млн руб.', 'change': None}]}",,{'Информация': 'Нет сведений об учредителях'},Не входит в санкционные списки,"['+7 821 456-05-36', '+7 821 456-04-81', '+7 821 231-91-01']","['ukhta@komiesc.ru', 'komiesc@komiesc.ru', 'centr@komiesc.ru']","[{'name': 'komiesc.ru', 'url': 'http://komiesc.ru'}, {'name': 'tgk9.ru', 'url': 'http://tgk9.ru'}]","[{'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': 'Основной'}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '35.30.2', 'text': 'Передача пара и горячей воды (тепловой энергии)', 'href': '/select?code=353020', 'extra_tip': ''}, {'code': '35.30.3', 'text': 'Распределение пара и горячей воды (тепловой энергии)', 'href': '/select?code=353030', 'extra_tip': ''}]","{'Наличие данных': True, 'Контракт': '16424', 'Сумма': '29.2 млрд руб.', 'Заказчик': '3.1 млрд руб.', 'Поставщик': '26.1 млрд руб.'}","{'Должность': 'Генеральный директор', 'Имя': 'Борисова Елена Николаевна', 'Ссылка': '/people/inn/110101082986-borisova-elena-nikolaevna', 'ИНН': '110101082986'}"
1021100740495,1102028818,110201001,55415188,"169313, Республика Коми, м. о. Ухта, г. Ухта, ул. Дзержинского, д. 4А","МУП ""УХТАВОДОКАНАЛ""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""УХТАВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОКРУГА ""УХТА"" РЕСПУБЛИКИ КОМИ",Действующая компания,Муниципальные унитарные предприятия,Муниципальная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до943,6 млн руб.+12%', 'change': {'value': '+12%', 'tooltip': '845,9 млн руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до1,2 млн руб.+39%', 'change': {'value': '+39%', 'tooltip': '850 тыс. руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили322,3 млн руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 821 676-17-38', '+7 821 676-21-53', '+7 812 676-21-53']","['ukhtavodokanal@mail.ru', 'uhtavodokanal@mail.ru', 'ukhtavodokanai@mail.ru']","[{'name': 'ukhtavodokanal.ru', 'url': 'http://ukhtavodokanal.ru'}]","[{'code': '36.00.2', 'text': 'Распределение воды для питьевых и промышленных нужд', 'href': '/select?code=360020', 'extra_tip': 'Основной'}, {'code': '36.0', 'text': 'Забор, очистка и распределение воды', 'href': '/select?code=360000', 'extra_tip': ''}, {'code': '37.00', 'text': 'Сбор и обработка сточных вод', 'href': '/select?code=370000', 'extra_tip': ''}, {'code': '41.2', 'text': 'Строительство жилых и нежилых зданий', 'href': '/select?code=412000', 'extra_tip': ''}, {'code': '43.12', 'text': 'Подготовка строительной площадки', 'href': '/select?code=431200', 'extra_tip': ''}, {'code': '43.2', 'text': 'Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ', 'href': '/select?code=432000', 'extra_tip': ''}, {'code': '43.3', 'text': 'Работы строительные отделочные', 'href': '/select?code=433000', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 16', 'href': '/id/1021100740495/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Директор', 'Имя': 'Шиляева Алина Ивановна', 'Ссылка': '/people/inn/110804749712-shilyaeva-alina-ivanovna', 'ИНН': '110804749712'}"
1121103001062,1103006077,110101001,63290306,"167004, Республика Коми, г. о. Сыктывкар, г. Сыктывкар, Сысольское шоссе, стр. 9, ком. 209","ООО ""КОМИТЕПЛОЭНЕРГО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМИТЕПЛОЭНЕРГО""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2023 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до6,4 млрд руб.+19%', 'change': {'value': '+19%', 'tooltip': '5,4 млрд руб. в 2022 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до-398,4 млн руб.+49%', 'change': {'value': '+49%', 'tooltip': '-769,1 млн руб. в 2022 году'}}, {'name': 'Основные средства', 'value': '=составили8,4 млрд руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 821 513-15-44', '+7 821 230-44-93', '+7 821 495-03-86']","['vorkuta@komiesc.ru', 'kte@tplusgroup.ru', 'komiesc@komiesc.ru']","[{'name': 'komienergo.ru', 'url': 'http://komienergo.ru'}]","[{'code': '35.3', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': 'Основной'}, {'code': '35.11', 'text': 'Производство электроэнергии', 'href': '/select?code=351100', 'extra_tip': ''}, {'code': '35.11.1', 'text': 'Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций', 'href': '/select?code=351110', 'extra_tip': ''}, {'code': '35.30', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': ''}, {'code': '35.30.11', 'text': 'Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями', 'href': '/select?code=353011', 'extra_tip': ''}, {'code': '35.30.14', 'text': 'Производство пара и горячей воды (тепловой энергии) котельными', 'href': '/select?code=353014', 'extra_tip': ''}, {'code': '35.30.2', 'text': 'Передача пара и горячей воды (тепловой энергии)', 'href': '/select?code=353020', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 9', 'href': '/id/1121103001062/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Голиков Константин Владимирович', 'Ссылка': '/people/inn/183504994431-golikov-konstantin-vladimirovich', 'ИНН': '183504994431'}"
1131103000214,1103007560,110301001,38678851,"169900, Республика Коми, г. Воркута, пл. Центральная, д. 7","КУМИ АДМИНИСТРАЦИИ МО ""ВОРКУТА""","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОКРУГА ""ВОРКУТА"" РЕСПУБЛИКИ КОМИ",Действующая организация,Муниципальные казенные учреждения,Муниципальная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2023 год', 'Значения': []}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 821 515-52-38', '+7 821 513-20-08', '+7 821 513-11-43']","['office@kumivorkuta.ru', 'kumi.vorkuta@bk.ru', 'kumi@mayor.vorkuta.ru']",[],"[{'code': '84.11.34', 'text': 'Деятельность органов местного самоуправления муниципальных округов', 'href': '/select?code=841134', 'extra_tip': 'Основной'}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Начальник комитета', 'Имя': 'Филиппов Сергей Николаевич', 'Ссылка': '/people/inn/112000525339-filippov-sergey-nikolaevich', 'ИНН': '112000525339'}"
1021200761658,1215003356,121501001,26310726,"424000, Республика Марий Эл, г. Йошкар-Ола, пр-кт Ленинский, д. 27",КУМИ Г. ЙОШКАР-ОЛЫ,"КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД ЙОШКАР-ОЛА""",Действующая организация,Муниципальные казенные учреждения,Муниципальная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,,,{'Информация': 'Нет сведений об учредителях'},Не входит в санкционные списки,"['+7 836 241-62-39', '+7 836 241-11-70', '+7 836 241-44-89']","['gki@mari-el.ru', 'gki@mail.ru', 'nemceva@kumi12.ru']","[{'name': 'i-ola.ru', 'url': 'http://i-ola.ru'}, {'name': 'gor-sobry-ola.ru', 'url': 'http://gor-sobry-ola.ru'}]","[{'code': '84.11.3', 'text': 'Деятельность органов местного самоуправления по управлению вопросами общего характера', 'href': '/select?code=841130', 'extra_tip': 'Основной'}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Заместитель главы администрации городского округа ""город йошкар-ола"" (мэра города), председатель комитета по управлению муниципальным имуществом', 'Имя': 'Николаев Дмитрий Владимирович', 'Ссылка': '/people/inn/120701210940-nikolaev-dmitry-vladimirovich', 'ИНН': '120701210940'}"
1021200770634,1215011170,121501001,03220475,"424003, Республика Марий Эл, г. о. город Йошкар-Ола, г. Йошкар-Ола, ул. Лобачевского, д. 12","МУП ""ЙОШКАР-ОЛИНСКАЯ ТЭЦ-1""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЙОШКАР-ОЛИНСКАЯ ТЕПЛОЭЛЕКТРОЦЕНТРАЛЬ №1"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД ЙОШКАР-ОЛА""","Юридическое лицо ликвидировано 1 февраля 2024 года
Прекращение деятельности юридического лица путем реорганизации в форме преобразования",,Муниципальная собственность,,,,{'Информация': 'Нет данных'},,[],[],[],"[{'code': '35.30', 'text': 'Производство, передача и распределение пара и горячей воды; кондиционирование воздуха', 'href': '/select?code=353000', 'extra_tip': 'Основной'}, {'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': ''}, {'code': '42.21', 'text': 'Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения', 'href': '/select?code=422100', 'extra_tip': ''}, {'code': '42.22', 'text': 'Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями', 'href': '/select?code=422200', 'extra_tip': ''}, {'code': '42.22.2', 'text': 'Строительство местных линий электропередачи и связи', 'href': '/select?code=422220', 'extra_tip': ''}, {'code': '52.21.2', 'text': 'Деятельность вспомогательная, связанная с автомобильным транспортом', 'href': '/select?code=522120', 'extra_tip': ''}, {'code': '55.10', 'text': 'Деятельность гостиниц и прочих мест для временного проживания', 'href': '/select?code=551000', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 9', 'href': '/id/1021200770634/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Директор', 'Имя': 'Бондарчук Игорь Леонидович', 'Ссылка': '/people/inn/121501617698-bondarchuk-igor-leonidovich', 'ИНН': '121501617698'}"
1021300973781,1326134450,132601001,39525457,"430005, Республика Мордовия, г. Саранск, ул. Коммунистическая, д. 33/3, кв. 222",ГОСУКС РЕСПУБЛИКИ МОРДОВИЯ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА РЕСПУБЛИКИ МОРДОВИЯ""",Действующая организация,Государственные казенные учреждения субъектов Российской Федерации,Собственность субъектов Российской Федерации,Общая (ОСНО) Согласно данным ФНС за 2023 год,,,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 834 224-69-55', '+7 834 247-86-98', '+7 834 239-23-31']","['uksdh@moris.ru', 'gosuks@e-mordovia.ru']","[{'name': 'gosuks.e-mordovia.ru', 'url': 'http://gosuks.e-mordovia.ru'}]","[{'code': '71.11.1', 'text': 'Деятельность в области архитектуры, связанная с созданием архитектурного объекта', 'href': '/select?code=711110', 'extra_tip': 'Основной'}, {'code': '41.20', 'text': 'Строительство жилых и нежилых зданий', 'href': '/select?code=412000', 'extra_tip': ''}, {'code': '42.11', 'text': 'Строительство автомобильных дорог и автомагистралей', 'href': '/select?code=421100', 'extra_tip': ''}, {'code': '42.91', 'text': 'Строительство водных сооружений', 'href': '/select?code=429100', 'extra_tip': ''}, {'code': '42.91.2', 'text': 'Строительство гидротехнических сооружений', 'href': '/select?code=429120', 'extra_tip': ''}, {'code': '42.99', 'text': 'Строительство прочих инженерных сооружений, не включенных в другие группировки', 'href': '/select?code=429900', 'extra_tip': ''}, {'code': '43.11', 'text': 'Разборка и снос зданий', 'href': '/select?code=431100', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 21', 'href': '/id/1021300973781/activity', 'extra_tip': ''}]","{'Наличие данных': True, 'Контракт': '2269', 'Сумма': '58.3 млрд руб.', 'Заказчик': '58.3 млрд руб.', 'Поставщик': '20.0 тыс. руб.'}","{'Должность': 'Начальник', 'Имя': 'Ермишев Алексей Анатольевич', 'Ссылка': '/people/inn/132600780647-ermishev-aleksey-anatolyevich', 'ИНН': '132600780647'}"
1181326002978,1326251555,132601001,28561846,"430005, Республика Мордовия, г. Саранск, ул. Московская, д. 1","АО ""РАЗВИТИЕ СЕЛА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАЗВИТИЕ СЕЛА""",Действующая компания,Непубличные акционерные общества,Собственность субъектов Российской Федерации,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до281,1 млн руб.+70%', 'change': {'value': '+70%', 'tooltip': '165,6 млн руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=понизилась до-257,1 млн руб.-27801%', 'change': {'value': '-27801%', 'tooltip': '928 тыс. руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили205,6 млн руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили1,3 млн руб.', 'change': None}]}",,{'Информация': 'Нет данных'},Не входит в санкционные списки,"['+7 834 232-70-44', '+7 834 247-07-25', '+7 927 176-20-96']","['rsfeo@yandex.ru', 'zakupkirs@mail.ru', 'iakov65@mail.ru']",[],"[{'code': '64.91', 'text': 'Деятельность по финансовой аренде (лизингу/сублизингу)', 'href': '/select?code=649100', 'extra_tip': 'Основной'}, {'code': '01.61', 'text': 'Предоставление услуг в области растениеводства', 'href': '/select?code=016100', 'extra_tip': ''}, {'code': '10.11.1', 'text': 'Производство мяса в охлажденном виде', 'href': '/select?code=101110', 'extra_tip': ''}, {'code': '10.11.2', 'text': 'Производство пищевых субпродуктов в охлажденном виде', 'href': '/select?code=101120', 'extra_tip': ''}, {'code': '10.11.3', 'text': 'Производство мяса и пищевых субпродуктов в замороженном виде', 'href': '/select?code=101130', 'extra_tip': ''}, {'code': '10.11.6', 'text': 'Производство субпродуктов, непригодных для употребления в пищу', 'href': '/select?code=101160', 'extra_tip': ''}, {'code': '10.13.1', 'text': 'Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса', 'href': '/select?code=101310', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 42', 'href': '/id/1181326002978/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Кузнецов Алексей Дмитриевич', 'Ссылка': '/people/inn/132707076031-kuznecov-aleksey-dmitrievich', 'ИНН': '132707076031'}"
1061328000018,1328904496,132801001,93381420,"430007, Республика Мордовия, г. Саранск, ул. Осипенко, д. 93","ООО ""ВАТТ-ЭЛЕКТРОСБЫТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРОСБЫТОВАЯ КОМПАНИЯ ""ВАТТ-ЭЛЕКТРОСБЫТ""",Действующая компания,Общества с ограниченной ответственностью,Частная собственность,Общая (ОСНО) Согласно данным ФНС за 2023 год,"{'Период': 'Финансовая отчетность за 2024 год', 'Значения': [{'name': 'Выручка', 'value': '=выросла до3 млрд руб.+11%', 'change': {'value': '+11%', 'tooltip': '2,7 млрд руб. в 2023 году'}}, {'name': 'Чистая прибыль', 'value': '=выросла до62,1 млн руб.+251%', 'change': {'value': '+251%', 'tooltip': '17,7 млн руб. в 2023 году'}}, {'name': 'Основные средства', 'value': '=составили273 млн руб.', 'change': None}, {'name': 'Нематериальные активы', 'value': '=составили5,3 млн руб.', 'change': None}]}",,"{'Тип': 'Учредитель', 'Имя': 'Ларюшкин Николай Иванович', 'Ссылка': '/people/inn/132601838554', 'С какого момента': 'с 9 декабря 2016 г.'}",Не входит в санкционные списки,"['+7 883 427-00-88', '+7 834 227-00-88', '+7 834 227-00-80']","['docs@skwes.com', 'docs@skwes13.ru', 'docs@skwes13.com']","[{'name': 'skwes.com', 'url': 'http://skwes.com'}]","[{'code': '35.14', 'text': 'Торговля электроэнергией', 'href': '/select?code=351400', 'extra_tip': 'Основной'}, {'code': '18.13', 'text': 'Изготовление печатных форм и подготовительная деятельность', 'href': '/select?code=181300', 'extra_tip': ''}, {'code': '35.11', 'text': 'Производство электроэнергии', 'href': '/select?code=351100', 'extra_tip': ''}, {'code': '35.12', 'text': 'Передача электроэнергии и технологическое присоединение к распределительным электросетям', 'href': '/select?code=351200', 'extra_tip': ''}, {'code': '35.13', 'text': 'Распределение электроэнергии', 'href': '/select?code=351300', 'extra_tip': ''}, {'code': '47.99', 'text': 'Торговля розничная прочая вне магазинов, палаток, рынков', 'href': '/select?code=479900', 'extra_tip': ''}, {'code': '62.01', 'text': 'Разработка компьютерного программного обеспечения', 'href': '/select?code=620100', 'extra_tip': ''}, {'code': '', 'text': '+ ещё 5', 'href': '/id/1061328000018/activity', 'extra_tip': ''}]",{'Наличие контрактов по госзакупкам': False},"{'Должность': 'Генеральный директор', 'Имя': 'Медведева Ирина Алексеевна', 'Ссылка': '/people/inn/132801858364-medvedeva-irina-alekseevna', 'ИНН': '132801858364'}"
