"number","summa","creditor_inn","debtor_inn","group_summa"
"404/24/10012-ИП","138395.54","1001012875","1005013710","5548865.100000001"
"405/24/10012-ИП","127641.84","1001012875","1005013710","5548865.100000001"
"406/24/10012-ИП","138870.08","1001012875","1005013710","5548865.100000001"
"407/24/10012-ИП","332999.69","1001012875","1005013710","5548865.100000001"
"409/24/10012-ИП","404080.74","1001012875","1005013710","5548865.100000001"
"412/24/10012-ИП","77372.79","1001012875","1005013710","5548865.100000001"
"413/24/10012-ИП","111296.72","1001012875","1005013710","5548865.100000001"
"415/24/10012-ИП","196774.73","1001012875","1005013710","5548865.100000001"
"417/24/10012-ИП","530724.13","1001012875","1005013710","5548865.100000001"
"419/24/10012-ИП","312153.87","1001012875","1005013710","5548865.100000001"
"420/24/10012-ИП","176009.92","1001012875","1005013710","5548865.100000001"
"422/24/10012-ИП","6112.5","1001012875","1005013710","5548865.100000001"
"424/24/10012-ИП","222000","1001012875","1005013710","5548865.100000001"
"59238/24/10012-ИП","138870.08","1001012875","1005013710","5548865.100000001"
"59239/24/10012-ИП","222000","1001012875","1005013710","5548865.100000001"
"59253/24/10012-ИП","6112.5","1001012875","1005013710","5548865.100000001"
"59256/24/10012-ИП","404080.74","1001012875","1005013710","5548865.100000001"
"59258/24/10012-ИП","196774.73","1001012875","1005013710","5548865.100000001"
"59268/24/10012-ИП","176009.92","1001012875","1005013710","5548865.100000001"
"59269/24/10012-ИП","530724.13","1001012875","1005013710","5548865.100000001"
"58817/24/10012-ИП","138395.54","1001012875","1005013710","5548865.100000001"
"58818/24/10012-ИП","127641.84","1001012875","1005013710","5548865.100000001"
"59254/24/10012-ИП","332999.69","1001012875","1005013710","5548865.100000001"
"59255/24/10012-ИП","77372.79","1001012875","1005013710","5548865.100000001"
"59259/24/10012-ИП","312153.87","1001012875","1005013710","5548865.100000001"
"59257/24/10012-ИП","111296.72","1001012875","1005013710","5548865.100000001"
"67817/24/45051-ИП","1508705.14","1012345678","4518020236","4479374.6"
"43127/24/45051-ИП","597352.58","1012345678","4518020236","4479374.6"
"52360/24/45051-ИП","803700.51","1012345678","4518020236","4479374.6"
"52897/24/45051-ИП","1569616.37","1012345678","4518020236","4479374.6"
"193119/24/11001-ИП","26667.5","1101301856","1101164310","3621703.000000001"
"207622/23/11001-ИП","318724.85","1101301856","1101164310","3621703.000000001"
"108217/24/11001-ИП","44061.25","1101301856","1101164310","3621703.000000001"
"99148/24/11001-ИП","2632.71","1101301856","1101164310","3621703.000000001"
"134659/24/11001-ИП","30552.49","1101301856","1101164310","3621703.000000001"
"63296/24/11001-ИП","39902.15","1101301856","1101164310","3621703.000000001"
"41726/23/11001-ИП","590674.3","1101301856","1101164310","3621703.000000001"
"174797/23/11001-ИП","96349","1101301856","1101164310","3621703.000000001"
"183910/23/11001-ИП","210044.87","1101301856","1101164310","3621703.000000001"
"183895/23/11001-ИП","207061.52","1101301856","1101164310","3621703.000000001"
"183892/23/11001-ИП","123155.78","1101301856","1101164310","3621703.000000001"
"183891/23/11001-ИП","404670.47","1101301856","1101164310","3621703.000000001"
"183264/23/11001-ИП","156590.89","1101301856","1101164310","3621703.000000001"
"183257/23/11001-ИП","192995.9","1101301856","1101164310","3621703.000000001"
"183249/23/11001-ИП","150560.29","1101301856","1101164310","3621703.000000001"
"183245/23/11001-ИП","63372.5","1101301856","1101164310","3621703.000000001"
"183243/23/11001-ИП","189484.56","1101301856","1101164310","3621703.000000001"
"183238/23/11001-ИП","164066.99","1101301856","1101164310","3621703.000000001"
"183235/23/11001-ИП","303137.98","1101301856","1101164310","3621703.000000001"
"183233/23/11001-ИП","23253.72","1101301856","1101164310","3621703.000000001"
"8929/23/11025-ИП","283743.28","1101301856","1101164310","3621703.000000001"
"103316/24/11003-ИП","1025831.48","1101301856","1102079837","4238314.930000001"
"24468/24/11003-ИП","1558991.3","1101301856","1102079837","4238314.930000001"
"163915/23/11003-ИП","1090928.73","1101301856","1102079837","4238314.930000001"
"206927/23/11003-ИП","562563.42","1101301856","1102079837","4238314.930000001"
"5597/23/11017-ИП","363921.01","1101301856","1108019111","2739470.64"
"89868/23/11017-ИП","209025.1","1101301856","1108019111","2739470.64"
"81547/23/11017-ИП","447801.07","1101301856","1108019111","2739470.64"
"81570/23/11017-ИП","209593.09","1101301856","1108019111","2739470.64"
"81626/23/11017-ИП","168229.81","1101301856","1108019111","2739470.64"
"81671/23/11017-ИП","248677.39","1101301856","1108019111","2739470.64"
"81682/23/11017-ИП","181310.25","1101301856","1108019111","2739470.64"
"81683/23/11017-ИП","59000.94","1101301856","1108019111","2739470.64"
"81591/23/11017-ИП","248998.84","1101301856","1108019111","2739470.64"
"81684/23/11017-ИП","502708.74","1101301856","1108019111","2739470.64"
"28879/23/11017-ИП","100204.4","1101301856","1108019111","2739470.64"
"2191/23/11009-ИП","123644.48","1101301856","1113008669","4316580.78"
"82316/24/11009-ИП","467572.95","1101301856","1113008669","4316580.78"
"32905/24/11009-ИП","21074.1","1101301856","1113008669","4316580.78"
"176807/23/11009-ИП","392273.63","1101301856","1113008669","4316580.78"
"187709/23/11009-ИП","241565.8","1101301856","1113008669","4316580.78"
"187708/23/11009-ИП","671341.66","1101301856","1113008669","4316580.78"
"187704/23/11009-ИП","62776.4","1101301856","1113008669","4316580.78"
"187702/23/11009-ИП","676603.44","1101301856","1113008669","4316580.78"
"187694/23/11009-ИП","574810.2","1101301856","1113008669","4316580.78"
"187690/23/11009-ИП","276036.67","1101301856","1113008669","4316580.78"
"31369/23/11009-ИП","23709.4","1101301856","1113008669","4316580.78"
"92470/23/11009-ИП","646712.87","1101301856","1113008669","4316580.78"
"120146/23/11009-ИП","138459.18","1101301856","1113008669","4316580.78"
"295658/23/11003-ИП","1673222.19","1102028818","1102079837","4275152.51"
"264773/24/11003-ИП","6511988.22","1102028818","1102079837","4275152.51"
"260925/23/11003-ИП","166251.72","1102028818","1102079837","4275152.51"
"365586/23/11003-ИП","138706.46","1102028818","1102079837","4275152.51"
"252446/23/11003-ИП","2296972.14","1102028818","1102079837","4275152.51"
"172848/24/11002-ИП","1964132.95","1103006077","1103015875","2604785.33"
"318348/23/11002-ИП","257537.48","1103006077","1103015875","2604785.33"
"172705/24/11002-ИП","383114.9","1103006077","1103015875","2604785.33"
"206284/24/11002-ИП","17.63","1103007560","1103026267","3187599.72"
"12378/23/11002-ИП","35572.5","1103007560","1103026267","3187599.72"
"12328/23/11002-ИП","491050.27","1103007560","1103026267","3187599.72"
"12363/23/11002-ИП","1399748.49","1103007560","1103026267","3187599.72"
"12360/23/11002-ИП","1261210.83","1103007560","1103026267","3187599.72"
